id;nazwisko;ulica;telefon;dupa
7745;Gosik;Traugutta;575 463 389;
7746;Bienia;Fiołkowa;+48 22 099 54 38;
7747;Sieja;Porzeczkowa;+48 781 635 023;
7748;Okraska;Tysiąclecia;796 145 089;
7749;Motak;Poziomkowa;667 865 790;
7750;Zander;Hallera;+48 692 853 624;
7751;Jachimczyk;Lelewela;+48 578 039 647;
7752;Kosiak;Bema;+48 699 684 344;
7753;Grzela;Łabędzia;601 324 184;
7754;Ruchała;Maja;+48 789 915 115;
7755;Gabryel;Łąkowa;663 434 888;
7756;Pielka;Średnia;22 254 71 54;
7757;Łachacz;Strażacka;+48 793 220 743;
7758;Świątkiewicz;Kochanowskiego;733 516 244;
7759;Łyjak;Cisowa;513 248 569;
7760;Miszkiel;Chmielna;+48 609 033 796;
7761;Nieradko;Korfantego;533 869 440;
7762;Doroba;Skośna;510 074 498;
7763;Nagel;Listopada;531 032 803;
7764;Szmalec;Górnicza;+48 788 470 116;
7765;Cetera;Szkolna;22 918 30 10;
7766;Cyrek;Starowiejska;+48 727 006 438;
7767;Łobacz;Skośna;22 973 52 68;
7768;Hejduk;Gałczynskiego;787 388 527;
7769;Oskroba;Reymonta;+48 603 687 340;
7770;Cłapa;Graniczna;+48 503 402 178;
7771;Nocek;Chopina;+48 885 426 952;
7772;Pachnik;Poniatowskiego;510 168 967;
7773;Wojniak;Daleka;+48 669 752 501;
7774;Kyc;Jaworowa;+48 698 256 744;
7775;Pietrusiewicz;Jaśminowa;578 493 288;
7776;Frukacz;Reja;501 448 108;
7777;Kawulok;Bydgoska;+48 888 654 026;
7778;Soczówka;Wypoczynkowa;+48 669 930 360;
7779;Knych;Bolesława Chrobrego;500 891 975;
7780;Salawa;Poprzeczna;+48 795 382 455;
7781;Ostapczuk;Tysiąclecia;+48 782 913 601;
7782;Szkoda;Cmentarna;+48 570 244 409;
7783;Herok;Borowa;32 466 28 79;
7784;Pietrasz;Rejtana;+48 726 390 045;
7785;Księżak;Kasztanowa;602 028 835;
7786;Mak;Żurawia;+48 538 812 830;
7787;Jaroszuk;Makuszyńskiego;+48 517 481 219;
7788;Niedźwiadek;Poniatowskiego;+48 734 209 803;
7789;Spadło;Jaśminowa;577 480 147;
7790;Szlęk;Złota;+48 662 261 003;
7791;Hak;Żeglarska;692 731 690;
7792;Gapys;Świerczewskiego;503 841 748;
7793;Zera;Chabrowa;532 191 962;
7794;Zbylut;Szmaragdowa;+48 663 836 984;
7795;Kaczmarkiewicz;Poprzeczna;888 527 317;
7796;Bittner;Strażacka;793 910 874;
7797;Krzykała;Wiatraczna;512 883 880;
7798;Łyś;Cyprysowa;+48 736 110 597;
7799;Kuśmider;Czereśniowa;514 402 407;
7800;Beck;Brzozowa;725 715 458;
7801;Półchłopek;Niepodległości;605 369 947;
7802;Klęczar;Kościuszki;+48 532 963 872;
7803;Pęciak;Przemysłowa;793 705 249;
7804;Ligas;Łabędzia;+48 794 656 230;
7805;Kuryś;Lipca;+48 22 781 98 97;
7806;Stoltman;Makowa;+48 789 035 091;
7807;Nędzi;Skłodowskiej-Curie;+48 729 502 700;
7808;Dziadkiewicz;Kamienna;22 450 30 99;
7809;Piątkiewicz;Targowa;+48 661 717 445;
7810;Wakuła;Rejtana;+48 575 729 047;
7811;Lisoń;Władysława Jagiełły;782 623 196;
7812;Omiotek;Chopina;600 073 223;
7813;Jaremko;Cmentarna;+48 783 549 281;
7814;Borzych;Strzelecka;737 586 060;
7815;Kopytko;Piękna;508 281 136;
7816;Grubba;Zaciszna;+48 32 255 12 56;
7817;Matela;Szkolna;+48 32 420 32 18;
7818;Wendt;Zakątek;601 871 080;
7819;Jędraszek;Rózana;799 940 760;
7820;Styrna;Młyńska;+48 791 529 102;
7821;Kabala;Starowiejska;32 413 20 29;
7822;Niedźwiadek;Wodna;+48 661 473 699;
7823;Radzewicz;Mokra;730 280 910;
7824;Morgała;Lipca;+48 500 574 832;
7825;Ziemann;Grabowa;+48 663 739 954;
7826;Sajnóg;Leszczynowa;883 772 211;
7827;Cyrek;Konarskiego;694 763 169;
7828;Witkowicz;Malczewskiego;+48 666 726 968;
7829;Aleksandrzak;Handlowa;+48 32 431 79 86;
7830;Łuszczak;Łabędzia;511 218 153;
7831;Skalik;Osiedlowa;603 243 023;
7832;Bajak;Sowia;783 239 129;
7833;Chatys;Orzeszkowej;881 756 824;
7834;Imiołczyk;Starowiejska;885 187 612;
7835;Ślebioda;Rataja;+48 501 622 721;
7836;Engler;Bankowa;884 608 983;
7837;Chojna;Ciasna;+48 660 277 865;
7838;Pytko;Baczynskiego;+48 738 051 077;
7839;Duniec;Sarnia;+48 508 263 492;
7840;Kobak;Jana III Sobieskiego;+48 886 413 151;
7841;Brachman;Floriana;664 230 963;
7842;Michniak;Kalinowa;+48 669 527 416;
7843;Mysiak;Żeglarska;+48 531 841 855;
7844;Ropiak;Łąkowa;+48 577 203 566;
7845;Dyszy;Malczewskiego;501 173 934;
7846;Giel;Kielecka;888 134 221;
7847;Kazberuk;Żeromskiego;32 046 95 77;
7848;Mysior;Górna;+48 696 687 010;
7849;Żymełka;Długa;+48 669 813 469;
7850;Macek;Traugutta;+48 32 024 92 32;
7851;Komisarek;Torowa;509 969 243;
7852;Wawrzkiewicz;Stawowa;722 423 355;
7853;Prejs;Stroma;516 819 437;
7854;Nowotka;Torowa;+48 501 436 818;
7855;Bobel;Kolejowa;+48 887 292 233;
7856;Kurzac;Krakowska;+48 730 393 300;
7857;Garbaciak;Rejtana;+48 509 815 699;
7858;Tomalik;Wróblewskiego;+48 32 700 54 73;
7859;Raźny;Rejtana;+48 795 603 842;
7860;Gregorek;Zaciszna;538 980 780;
7861;Mikusek;Strumykowa;+48 883 170 954;
7862;Matejczyk;Grzybowa;785 100 112;
7863;Dzienniak;Turkusowa;731 629 359;
7864;Paszkowiak;Jarzębinowa;22 239 16 59;
7865;Gołoś;Turystyczna;782 667 892;
7866;Prasek;Lubelska;+48 503 272 260;
7867;Orszulik;Zapolskiej;32 447 44 81;
7868;Heczko;Chełmońskiego;606 026 243;
7869;Szatanik;Plażowa;+48 669 085 270;
7870;Małas;Willowa;+48 22 318 99 76;
7871;Misior;Jana Sobieskiego;882 068 009;
7872;Forysiak;Wierzbowa;+48 889 358 387;
7873;Subocz;Koralowa;+48 783 905 609;
7874;Gasz;Długosza;604 461 318;
7875;Lica;Olchowa;+48 734 775 433;
7876;Fedorczyk;Działkowa;535 277 285;
7877;Bona;Bolesława Krzywoustego;539 707 647;
7878;Jenek;Wczasowa;738 876 312;
7879;Rurarz;Cedrowa;516 095 678;
7880;Sugier;Wodna;+48 887 121 201;
7881;Szłapa;Kwiatowa;+48 533 623 484;
7882;Margas;Podmiejska;+48 535 800 652;
7883;Wawszczak;Urocza;733 039 198;
7884;Burchard;Turkusowa;+48 32 687 90 01;
7885;Gajcy;Kilińskiego;+48 662 974 227;
7886;Zander;Łabędzia;501 191 079;
7887;Wojtczuk;Powstańców Wielkopolskich;32 711 42 21;
7888;Cieniuch;Rejtana;32 364 59 66;
7889;Minta;Jana Sobieskiego;+48 722 614 613;
7890;Michel;Wąska;882 450 006;
7891;Glica;Batalionów Chłopskich;+48 574 383 691;
7892;Taczała;Długa;+48 600 374 837;
7893;Nehring;Mieszka I;+48 693 028 682;
7894;Goś;Jagodowa;+48 607 115 486;
7895;Osipiuk;Modrzewiowa;789 567 053;
7896;Pastuła;Władysława Łokietka;792 856 696;
7897;Mzyk;Wspólna;+48 887 960 517;
7898;Siwka;Krzywa;+48 32 479 68 08;
7899;Komuda;Prusa;32 795 21 13;
7900;Jaźwiec;Turystyczna;+48 798 734 167;
7901;Buchholz;Żeglarska;691 258 220;
7902;Malarczyk;Konopnickiej;+48 502 900 356;
7903;Pagacz;Wojska Polskiego;513 438 764;
7904;Wawrzkiewicz;Nadbrzeżna;+48 790 794 520;
7905;Tryka;Śląska;+48 793 602 508;
7906;Nazarewicz;Korczaka;512 029 879;
7907;Bek;Wąska;22 924 44 88;
7908;Serwach;Konarskiego;+48 518 897 816;
7909;Śledzik;Pałacowa;736 736 023;
7910;Radziewicz;Zamkowa;+48 882 846 564;
7911;Rzońca;Prusa;572 690 480;
7912;Bruzda;Klonowa;698 790 990;
7913;Raźniak;Powstańców;+48 881 262 665;
7914;Chabior;Browarna;530 033 570;
7915;Kobza;Szczęśliwa;+48 780 874 895;
7916;Rezmer;Strzelecka;662 708 703;
7917;Galon;Słowicza;579 184 380;
7918;Palica;Dąbrowskiej;720 359 321;
7919;Juras;Wiosenna;+48 793 812 657;
7920;Drobisz;Letnia;+48 510 528 048;
7921;Lica;Jesienna;799 185 435;
7922;Wyrwich;Kamienna;+48 22 343 38 49;
7923;Fogiel;Kossaka;690 079 015;
7924;Gałat;Wróblewskiego;+48 22 389 83 59;
7925;Łaś;Jana III Sobieskiego;691 193 472;
7926;Węgrzyk;Słowianska;+48 32 977 06 28;
7927;Hadam;Tylna;735 535 904;
7928;Kandora;Głowackiego;691 988 433;
7929;Łosiak;Ceglana;725 248 793;
7930;Szymała;Bolesława Krzywoustego;+48 785 897 905;
7931;Szulczyk;Gałczynskiego;+48 602 958 130;
7932;Grodek;Staszica;+48 799 898 685;
7933;Dobrosz;Kazimierza Wielkiego;885 791 450;
7934;Glaza;Perłowa;+48 501 632 137;
7935;Dułak;Lipca;882 571 144;
7936;Szambelan;Rejtana;+48 514 837 431;
7937;Widłak;Zamkowa;+48 507 291 221;
7938;Jędryczka;Krasińskiego;+48 725 501 980;
7939;Dub;Handlowa;576 860 952;
7940;Buza;Mazurska;887 694 916;
7941;Skierka;Okulickiego;668 661 676;
7942;Zmuda;Rejtana;883 083 229;
7943;Korbel;Jesienna;790 470 046;
7944;Batóg;Żytnia;22 958 13 33;
7945;Kamela;Południowa;889 010 496;
7946;Wysota;Chełmońskiego;723 522 189;
7947;Tatarek;Żwirowa;507 742 316;
7948;Majerczyk;Turkusowa;+48 22 794 84 07;
7949;Pawliczek;Zdrojowa;+48 32 184 00 89;
7950;Żmija;Szarych Szeregów;+48 604 043 350;
7951;Magryta;Wąska;511 233 995;
7952;Żynda;Kielecka;+48 32 217 55 96;
7953;Kawula;Północna;+48 720 762 553;
7954;Drobny;Morelowa;22 712 91 07;
7955;Mazek;Fredry;795 670 289;
7956;Rezmer;Piaskowa;+48 882 091 931;
7957;Frydrychowicz;Grzybowa;+48 733 041 778;
7958;Ochal;Lisia;+48 734 277 130;
7959;Ostafin;Dworska;+48 606 090 191;
7960;Steinke;Kowalska;+48 574 514 911;
7961;Filak;Browarna;789 734 733;
7962;Gosik;Narutowicza;+48 699 078 772;
7963;Pyzel;Stefana Batorego;738 816 185;
7964;Wosiak;Szymanowskiego;665 447 676;
7965;Budniak;Kochanowskiego;668 281 004;
7966;Jerzyk;Długosza;513 061 067;
7967;Popielarczyk;Maja;+48 663 810 282;
7968;Bujko;Tęczowa;+48 888 150 969;
7969;Stanclik;Pogodna;+48 538 380 046;
7970;Magier;Kosynierów;518 425 278;
7971;Nowrot;Krokusowa;+48 605 897 194;
7972;Patora;Zakątek;+48 788 167 090;
7973;Lula;Browarna;+48 731 751 027;
7974;Grunt;Prosta;+48 731 260 286;
7975;Dziób;Bydgoska;+48 507 914 085;
7976;Karwala;Bociania;+48 737 678 253;
7977;Boguta;Armii Krajowej;+48 731 819 338;
7978;Cieloch;Bema;693 682 181;
7979;Kuder;Modrzewiowa;790 689 052;
7980;Winek;Makuszyńskiego;+48 785 067 570;
7981;Maksimowicz;Jagiellońska;+48 668 386 853;
7982;Dziechciarz;Topolowa;665 789 368;
7983;Czubaj;Bukowa;+48 504 688 085;
7984;Bartoszczyk;Morcinka;788 954 628;
7985;Mortka;Fiołkowa;+48 797 111 743;
7986;Wołoszczuk;Batalionów Chłopskich;696 331 883;
7987;Ziajka;Piaskowa;604 028 820;
7988;Żymełka;Skrajna;887 533 904;
7989;Jeka;Magnoliowa;699 627 593;
7990;Bereś;Cicha;726 449 378;
7991;Miękina;Stycznia;+48 539 462 062;
7992;Basista;Lotnicza;660 375 509;
7993;Czapiga;Armii Krajowej;575 519 462;
7994;Ficoń;Zwycięstwa;519 607 279;
7995;Komuda;Hallera;22 940 75 26;
7996;Wakuła;Żeglarska;788 573 629;
7997;Siedlik;Jana;692 924 141;
7998;Macioł;Wiklinowa;796 956 404;
7999;Trznadel;Wierzbowa;22 817 85 08;
8000;Wiraszka;Poznańska;+48 882 188 764;
8001;Posmyk;Kazimierza Wielkiego;668 999 977;
8002;Fogel;Kosynierów;+48 661 204 513;
8003;Domżał;Górnicza;792 278 269;
8004;Majtczak;Porzeczkowa;531 950 668;
8005;Kuffel;Rzeczna;724 879 188;
8006;Trawka;Porzeczkowa;+48 797 742 533;
8007;Warych;Wałowa;+48 22 121 01 49;
8008;Dycha;Jastrzębia;517 435 833;
8009;Engler;Myśliwska;+48 570 043 139;
8010;Łodej;Bukowa;+48 22 526 00 76;
8011;Gałach;Jałowcowa;797 757 566;
8012;Znojek;Irysowa;510 848 649;
8013;Matyjaszek;Warszawska;669 649 328;
8014;Solis;Przemysłowa;725 650 116;
8015;Domka;Graniczna;+48 790 206 786;
8016;Haremza;Wiatraczna;+48 519 703 532;
8017;Syldatk;Narcyzowa;+48 736 708 698;
8018;Janowiak;Żeromskiego;+48 502 654 104;
8019;Krzywonos;Zapolskiej;514 550 293;
8020;Saran;Cicha;+48 32 903 73 93;
8021;Wasilewicz;Rajska;+48 512 832 247;
8022;Stochaj;Łączna;509 294 957;
8023;Ciuruś;Zielona;516 898 327;
8024;Szafarz;Kamienna;+48 536 438 495;
8025;Poczta;Wierzbowa;733 334 446;
8026;Golon;Spółdzielcza;881 615 995;
8027;Danieluk;Urocza;503 496 213;
8028;Pęciak;Paderewskiego;+48 666 507 936;
8029;Sarosiek;Lelewela;+48 22 780 79 36;
8030;Ryczko;Targowa;699 081 906;
8031;Imiołczyk;Orzeszkowej;+48 503 409 590;
8032;Sieja;Rejtana;+48 609 426 209;
8033;Kapałka;Niecała;788 663 570;
8034;Garncarek;Jodłowa;+48 792 552 160;
8035;Śledzik;Rózana;+48 888 153 571;
8036;Brzęk;Pocztowa;512 684 680;
8037;Hadaś;Stycznia;884 566 983;
8038;Drela;Brzoskwiniowa;512 853 589;
8039;Kleina;Cegielniana;32 543 04 59;
8040;Schubert;Radosna;+48 792 139 769;
8041;Mendak;Świerczewskiego;+48 663 062 921;
8042;Mizak;Sowia;694 546 594;
8043;Palak;Krasińskiego;+48 798 594 896;
8044;Kyc;Złota;+48 726 689 435;
8045;Folta;Złota;505 825 539;
8046;Bela;Zacisze;798 609 999;
8047;Pasich;Sienkiewicza;795 876 364;
8048;Naumiuk;Piłsudskiego;+48 570 270 968;
8049;Michel;Borówkowa;+48 782 455 500;
8050;Musiolik;Baczynskiego;+48 22 674 68 67;
8051;Fijak;Konopnickiej;603 908 650;
8052;Jakoniuk;Dąbrowskiego;537 447 552;
8053;Uliczka;Skrajna;+48 732 220 625;
8054;Łasica;Jaśminowa;+48 791 199 742;
8055;Rochowiak;Kreta;+48 513 410 482;
8056;Fedak;Tartaczna;577 161 615;
8057;Tałaj;Środkowa;+48 792 975 007;
8058;Bubak;Bema;+48 668 263 215;
8059;Michnik;Wiejska;694 170 553;
8060;Bartela;Piłsudskiego;+48 661 842 978;
8061;Siedlaczek;Srebrna;722 221 174;
8062;Myrcha;Strażacka;22 378 07 81;
8063;Błaszyk;Klonowa;889 949 240;
8064;Hrynkiewicz;Floriana;+48 32 631 12 21;
8065;Surdel;Brzoskwiniowa;662 328 306;
8066;Swatek;Kopernika;786 047 132;
8067;Gogół;Tulipanowa;+48 514 083 322;
8068;Cygal;Kwiatowa;+48 663 938 717;
8069;Kostorz;Widok;570 621 615;
8070;Długajczyk;Grabowa;507 546 810;
8071;Szóstak;Urocza;+48 726 641 431;
8072;Kliber;Górska;22 845 46 13;
8073;Szpyra;Jadwigi;+48 881 951 320;
8074;Tołoczko;Rolna;730 403 250;
8075;Baum;Brzechwy;+48 533 490 805;
8076;Chylak;Zielna;781 821 342;
8077;Krzywonos;Odrzańska;+48 32 964 95 14;
8078;Leszczuk;Częstochowska;+48 797 667 409;
8079;Koziatek;Jodłowa;727 111 490;
8080;Hadaś;Szewska;607 658 834;
8081;Wichary;Zielona;+48 889 932 102;
8082;Szmalec;Leszczynowa;795 803 521;
8083;Witoń;Zachodnia;+48 536 301 925;
8084;Grosz;Sawickiej;+48 32 623 58 55;
8085;Poleszak;Krasickiego;735 766 912;
8086;Karalus;Kołłątaja;+48 660 064 478;
8087;Gwardiak;Szczęśliwa;889 405 066;
8088;Tofil;Kamienna;503 607 282;
8089;Grębowiec;Piękna;+48 22 499 09 62;
8090;Mytych;Torowa;32 290 44 56;
8091;Rudyk;Storczykowa;509 111 399;
8092;Jambor;Bursztynowa;+48 781 088 740;
8093;Troć;Północna;608 647 580;
8094;Jędral;Malczewskiego;+48 534 029 414;
8095;Franas;Kowalska;727 916 559;
8096;Rećko;Mieszka I;666 916 125;
8097;Grupa;Lisia;+48 730 999 704;
8098;Białous;Ogrodowa;503 481 881;
8099;Godzisz;Broniewskiego;+48 32 821 25 22;
8100;Cukier;Kossaka;536 899 451;
8101;Galos;Narutowicza;+48 729 582 437;
8102;Toczko;Popiełuszki;799 776 654;
8103;Kozdra;Cicha;784 489 586;
8104;Kryza;Srebrna;+48 722 958 619;
8105;Stanisławczyk;Długa;+48 788 586 509;
8106;Franaszek;Morelowa;737 717 273;
8107;Kuźnia;Liliowa;+48 781 401 208;
8108;Smykla;Nowa;605 368 756;
8109;Białka;Ceglana;887 381 839;
8110;Zawalich;Słoneczna;502 950 029;
8111;Wesoła;Długa;+48 786 393 120;
8112;Gregorek;Truskawkowa;+48 600 077 079;
8113;Sołoducha;Zielona;+48 884 000 070;
8114;Szczypiór;Władysława Jagiełły;535 001 500;
8115;Behrendt;Wiosenna;+48 786 928 002;
8116;Starzak;Lisia;+48 22 101 77 71;
8117;Aleksander;Kolonia;662 035 353;
8118;Koloch;Młyńska;519 385 378;
8119;Trawka;Zbożowa;724 955 427;
8120;Malisz;Jadwigi;+48 887 008 720;
8121;Kręcichwost;Tulipanowa;574 564 043;
8122;Borysiak;Szczęśliwa;+48 724 489 645;
8123;Maćczak;Poprzeczna;22 924 57 01;
8124;Wasiewicz;Władysława Łokietka;+48 725 819 668;
8125;Maksym;Okrzei;573 062 625;
8126;Ligas;Grunwaldzka;517 198 435;
8127;Malka;Spacerowa;533 214 461;
8128;Wasiewicz;Makuszyńskiego;665 864 509;
8129;Tołoczko;Radosna;535 664 515;
8130;Kurczab;Lawendowa;+48 518 293 454;
8131;Świerkosz;Szymanowskiego;+48 798 419 353;
8132;Januszko;Sowia;+48 889 133 995;
8133;Graj;Wolności;+48 515 427 198;
8134;Behrendt;Letnia;883 456 365;
8135;Bitner;Skłodowskiej-Curie;782 890 721;
8136;Bluszcz;Królewska;+48 504 795 612;
8137;Bartkowicz;Jadwigi;+48 796 477 592;
8138;Wawrzynkiewicz;Jałowcowa;883 913 125;
8139;Latuszek;Wypoczynkowa;+48 571 486 735;
8140;Melaniuk;Ciasna;+48 609 875 381;
8141;Macias;Staffa;533 302 433;
8142;Wydrych;Wspólna;+48 731 788 385;
8143;Kijanka;Magnoliowa;+48 538 668 743;
8144;Rząca;Księżycowa;+48 535 921 399;
8145;Mały;Wąska;533 013 931;
8146;Złotnik;Wypoczynkowa;691 127 790;
8147;Szmaj;Zachodnia;+48 799 818 710;
8148;Koczara;Spółdzielcza;+48 512 294 925;
8149;Gryszkiewicz;Jeżynowa;734 802 290;
8150;Szumny;Jałowcowa;+48 32 661 08 13;
8151;Mainka;Księżycowa;737 168 852;
8152;Fac;Jaśminowa;+48 22 399 88 20;
8153;Kunysz;Jaworowa;793 715 790;
8154;Kasak;Jałowcowa;666 642 659;
8155;Powała;Jaworowa;535 636 899;
8156;Merda;Wiślana;722 546 174;
8157;Głowienka;Czarnieckiego;736 802 658;
8158;Marko;Pogodna;889 808 321;
8159;Wygoda;Świerczewskiego;+48 605 780 550;
8160;Bryzek;Jana III Sobieskiego;+48 737 603 434;
8161;Bartkowicz;Środkowa;+48 500 239 570;
8162;Ruszel;Owocowa;+48 669 067 279;
8163;Żółkiewicz;Kopernika;32 111 39 42;
8164;Mostek;Wałowa;577 874 861;
8165;Krywult;Żytnia;+48 574 172 636;
8166;Kosman;Pszenna;+48 537 305 405;
8167;Pyda;Wąska;+48 32 104 87 26;
8168;Pleśniak;Szymanowskiego;+48 723 644 054;
8169;Potaczek;Zapolskiej;575 193 521;
8170;Blaut;Szarych Szeregów;609 102 115;
8171;Duczmal;Wierzbowa;601 850 038;
8172;Miszkiel;Lotnicza;+48 516 843 480;
8173;Tereszkiewicz;Mazowiecka;+48 698 695 159;
8174;Ropiak;Staszica;+48 579 466 392;
8175;Białach;Wiązowa;791 674 193;
8176;Latacz;Orla;504 584 505;
8177;Burczak;Baczynskiego;605 191 805;
8178;Koniec;Skłodowskiej-Curie;796 092 341;
8179;Morys;Narutowicza;+48 880 877 961;
8180;Lejman;Brzechwy;662 700 602;
8181;Wawrzeńczyk;Jana;694 883 314;
8182;Szałaj;Daleka;787 376 904;
8183;Tadla;Wąska;531 373 939;
8184;Fedyk;Truskawkowa;+48 786 177 593;
8185;Janoszek;Korfantego;512 276 940;
8186;Zacharek;Zakole;722 500 866;
8187;Wicha;Rolna;573 534 919;
8188;Larysz;Ogrodowa;884 195 811;
8189;Talaśka;Kamienna;+48 532 827 461;
8190;Stachelek;Składowa;+48 608 086 810;
8191;Tałaj;Chabrowa;32 564 61 61;
8192;Falba;Cyprysowa;698 818 509;
8193;Delekta;Podleśna;720 825 410;
8194;Woszczyna;Armii Krajowej;881 309 039;
8195;Dietrich;Ludowa;797 668 527;
8196;Wandzel;Brzechwy;788 142 879;
8197;Labudda;Promienna;695 275 782;
8198;Srokosz;Błękitna;+48 693 259 530;
8199;Tylka;Kochanowskiego;733 812 557;
8200;Czerkies;Piaskowa;+48 606 256 195;
8201;Hanke;Bydgoska;+48 512 717 124;
8202;Brygoła;Rycerska;690 946 753;
8203;Frymus;Widok;+48 786 026 935;
8204;Kaletka;Podgórna;+48 666 567 753;
8205;Wrześniak;Majowa;738 293 948;
8206;Grzywnowicz;Okulickiego;793 174 642;
8207;Bondaruk;Bukowa;32 916 54 19;
8208;Muc;Sosnowa;+48 22 728 80 34;
8209;Świętoń;Bolesława Krzywoustego;792 016 676;
8210;Stefanik;Stycznia;+48 571 447 994;
8211;Sowała;Modrzewiowa;603 977 188;
8212;Lubera;Ptasia;886 043 045;
8213;Szymała;Słonecznikowa;507 426 842;
8214;Warzybok;Bema;+48 607 797 259;
8215;Styn;Sucharskiego;+48 578 102 627;
8216;Szymocha;Agrestowa;+48 796 297 705;
8217;Marchlewicz;Koralowa;+48 512 148 895;
8218;Kobak;Powstańców Śląskich;539 214 882;
8219;Domżał;Zielona;+48 22 925 79 56;
8220;Sydor;Dworska;723 813 351;
8221;Bejnarowicz;Czereśniowa;+48 513 450 800;
8222;Superson;Sokola;+48 660 108 541;
8223;Smykla;Norwida;+48 726 974 636;
8224;Machowiak;Wybickiego;796 370 213;
8225;Skierka;Środkowa;500 938 577;
8226;Żabka;Wybickiego;736 799 540;
8227;Flaga;Makuszyńskiego;887 445 757;
8228;Pruchnik;Dębowa;787 259 267;
8229;Wika;Zdrojowa;508 803 816;
8230;Leszczak;Moniuszki;887 609 917;
8231;Kłoczko;Ceglana;609 268 680;
8232;Pociask;Zakątek;519 017 799;
8233;Bartocha;Zamkowa;+48 608 308 355;
8234;Śmieszek;Morska;+48 733 224 569;
8235;Płócienniczak;Srebrna;+48 793 398 397;
8236;Padło;Spacerowa;787 619 319;
8237;Sadowy;Floriana;32 578 75 00;
8238;Początek;Borówkowa;+48 502 651 266;
8239;Bazyluk;Kolonia;669 100 917;
8240;Sieg;Jeziorna;+48 662 889 051;
8241;Łasak;Chmielna;881 831 377;
8242;Steinke;Łąkowa;+48 576 354 013;
8243;Kwapis;Słonecznikowa;664 951 885;
8244;Wierzchoń;Skłodowskiej-Curie;+48 32 090 71 24;
8245;Nicewicz;Nowa;+48 780 979 021;
8246;Bork;Kossaka;734 297 144;
8247;Siemek;Krańcowa;+48 887 977 248;
8248;Bukowiec;Turkusowa;+48 532 998 222;
8249;Ziętal;Wybickiego;32 624 47 94;
8250;Towarek;Grzybowa;888 861 205;
8251;Węgrzyk;Sawickiej;+48 607 665 939;
8252;Malcherek;Fiołkowa;532 526 124;
8253;Drózd;Jodłowa;785 983 096;
8254;Grabias;Skłodowskiej-Curie;576 781 970;
8255;Skotarek;Boczna;726 569 035;
8256;Granat;Sosnowa;+48 665 183 865;
8257;Czermak;Okrężna;694 169 431;
8258;Gogół;Targowa;+48 22 942 50 42;
8259;Szelest;Wrzosowa;511 623 404;
8260;Gowin;Przemysłowa;+48 32 158 22 05;
8261;Jachimczak;Skrajna;+48 530 367 130;
8262;Staciwa;Skośna;602 601 072;
8263;Oleksak;Spokojna;+48 786 747 352;
8264;Janoszka;Kowalska;732 770 736;
8265;Karpiak;Fabryczna;536 329 906;
8266;Zieniewicz;Rybacka;793 351 171;
8267;Bachanek;Magnoliowa;+48 699 454 352;
8268;Prażmo;Wysoka;504 318 029;
8269;Wojtach;Okulickiego;575 811 128;
8270;Trawka;Rubinowa;+48 519 546 384;
8271;Solarek;Fabryczna;514 782 205;
8272;Sowała;Lawendowa;788 998 374;
8273;Drobny;Jaskółcza;+48 787 995 999;
8274;Mordak;Młynarska;883 790 336;
8275;Koj;Pomorska;+48 22 889 41 81;
8276;Bidas;Akacjowa;797 927 935;
8277;Wojczuk;Mostowa;609 980 158;
8278;Koterba;Morcinka;573 623 910;
8279;Brudny;Krzywa;536 189 757;
8280;Beck;Lotnicza;+48 573 066 364;
8281;Rychert;Bukowa;+48 533 569 901;
8282;Dudała;Tartaczna;+48 32 768 49 20;
8283;Kość;Handlowa;+48 733 048 101;
8284;Suchta;Borówkowa;511 034 321;
8285;Klejna;Morelowa;+48 725 891 321;
8286;Palica;Sokola;+48 697 270 311;
8287;Kęsek;Przechodnia;511 339 012;
8288;Łyś;Matejki;727 845 732;
8289;Kurzac;Osiedlowa;+48 503 282 910;
8290;Wichłacz;Rejtana;+48 694 658 654;
8291;Kozaczuk;Lwowska;787 343 915;
8292;Jeszka;Piekarska;881 085 236;
8293;Rycerz;Zachodnia;579 485 365;
8294;Trojanek;Sowia;536 559 133;
8295;Blaut;Kruczkowskiego;+48 572 259 459;
8296;Miśko;Bociania;+48 698 823 476;
8297;Trzepizur;Zapolskiej;+48 22 431 35 78;
8298;Sowała;Sokola;726 155 692;
8299;Ostapiuk;Wrzosowa;518 543 429;
8300;Penkala;Radosna;+48 787 286 257;
8301;Zys;Wybickiego;+48 505 047 478;
8302;Antończak;Sowia;725 198 412;
8303;Góraj;Odrzańska;788 044 111;
8304;Och;Jana Sobieskiego;+48 736 504 933;
8305;Walasik;Piaskowa;721 394 628;
8306;Bałazy;Jodłowa;726 555 108;
8307;Szaj;Jeziorna;22 389 93 84;
8308;Barszczak;Gołębia;696 972 029;
8309;Wlazły;Wschodnia;+48 727 963 599;
8310;Gramza;Żabia;+48 572 369 368;
8311;Głuszko;Bukowa;22 854 18 25;
8312;Windak;Wschodnia;887 746 261;
8313;Koj;Krasińskiego;605 657 190;
8314;Labocha;Słowianska;+48 796 601 945;
8315;Litwinowicz;Lelewela;+48 692 710 424;
8316;Pelka;Wiślana;+48 887 107 319;
8317;Zajko;Rumiankowa;606 144 973;
8318;Hubert;Daleka;+48 505 871 279;
8319;Milczarczyk;Cmentarna;669 642 549;
8320;Moczko;Żwirowa;+48 32 661 86 92;
